CLNT_ID,LABEL
0,F20
1,F30
6,F20
9,F30
12,F30
16,F40
17,F30
18,F20
20,F20
22,F20
23,F40
24,M30
25,M40
26,F40
27,F20
31,F40
34,F30
35,F20
38,M40
39,F30
41,F30
45,F30
50,F30
51,M30
53,F40
56,F30
57,F30
60,M30
61,M30
63,F30
64,M20
65,F40
69,F40
71,F30
73,F40
74,M30
76,F30
79,F30
80,F30
81,F40
82,M30
84,F40
87,F30
89,F30
90,F30
91,F20
93,M30
95,F30
97,F20
98,M40
100,F30
102,F40
104,F30
106,F40
107,F30
108,F20
109,F40
110,F30
111,M40
113,F40
114,F40
120,M30
121,F30
122,F30
123,F20
124,F40
127,F30
129,F30
130,F40
131,F30
132,F40
133,F20
135,F30
136,F30
137,F30
138,F30
140,F40
141,F30
143,F40
147,F40
151,F30
154,F40
155,F40
156,F40
157,F40
161,F40
163,F30
164,F30
165,M30
166,F40
167,F20
168,F30
169,F30
170,M20
171,F40
173,F30
174,F40
176,F40
177,M40
179,M30
180,M30
181,M30
183,F40
184,F40
185,F40
186,M40
188,F20
190,F40
192,F40
194,F40
198,F40
202,F30
203,F30
204,F30
205,F20
207,F20
208,F40
209,F40
210,F30
211,F30
212,F30
216,F30
221,F30
222,F30
223,F40
225,F40
226,F20
227,F40
231,F30
233,M40
234,F40
235,F40
236,F30
237,F20
238,F20
240,F40
243,M30
244,F40
245,F40
247,F30
248,F40
250,F20
251,F30
252,F30
253,F30
255,F30
257,M30
260,F30
261,F30
264,F30
268,F40
271,F30
276,F30
277,F30
278,F40
280,F30
282,F40
283,M20
284,M40
285,F20
286,M30
287,F30
288,F30
289,F30
290,F30
292,F30
293,F20
295,F40
297,F30
298,F30
299,F30
300,F30
302,F30
303,F40
308,M40
311,F30
312,F30
313,F30
314,F30
315,F30
316,F30
318,F40
319,F30
322,F30
324,F20
326,M30
329,F40
331,F40
334,F30
335,F40
338,F40
339,F30
340,F40
341,F30
343,F30
345,F30
346,F40
349,F30
350,F30
351,F30
357,F30
360,F40
361,F40
364,F30
366,F30
367,M20
368,F40
369,F40
371,F40
372,F40
374,F30
375,F40
376,F30
383,F30
384,F30
386,F40
388,F40
389,F30
390,F40
391,F40
392,F30
393,M40
394,F30
395,F40
396,F40
400,F30
401,F30
403,F30
404,M40
405,F20
406,F30
407,F40
408,F40
409,F30
410,F20
411,F40
412,F40
413,F40
415,F20
416,F20
420,F30
421,F30
423,F20
424,F20
427,F40
428,F30
429,M30
431,F20
432,F40
433,M20
434,F20
438,F30
439,F30
440,F20
441,M30
442,F40
443,F30
445,F20
446,F30
447,F40
448,F30
450,F40
451,F40
453,F40
454,F40
455,F40
456,M40
458,F30
459,M40
462,F40
464,F30
465,F40
466,F30
468,M30
470,M30
471,F40
472,F30
473,F30
475,F30
480,F20
481,F40
489,F40
491,F30
492,M30
493,F30
495,F40
499,F30
500,F40
501,M30
502,F20
505,M40
506,F30
508,F40
509,F40
510,F30
511,M30
512,F30
515,F40
518,F40
520,F20
522,F30
524,F20
525,M40
527,F40
528,F30
529,F30
531,M40
533,F40
535,F20
536,F40
538,F20
539,F40
540,F40
543,F40
544,M40
545,F30
549,M30
553,F40
554,M30
556,M40
557,F40
559,F40
568,F30
569,F40
570,F30
571,M40
572,F30
574,F30
578,F40
580,F30
584,F30
592,F30
594,F40
596,F40
599,M40
600,F30
602,F40
604,F40
609,F40
612,F20
614,F40
615,F20
617,F20
621,F30
622,F30
625,F30
626,F40
627,F30
628,F20
629,M30
637,F40
639,F40
640,F40
642,F40
644,F20
646,F30
647,F40
650,F30
652,F30
653,F40
657,F30
658,F40
659,F40
661,F30
664,F40
665,F40
668,F40
669,F30
670,F30
672,F30
679,F20
680,F30
682,F40
683,F40
684,F30
688,M40
